instrument_id,delivery_date,price
27,2026-01-01,68.50
27,2026-02-01,69.25
27,2026-03-01,70.10
27,2026-04-01,71.85
27,2026-05-01,73.40
27,2026-06-01,75.15
27,2026-07-01,76.90
27,2026-08-01,78.65
27,2026-09-01,80.40
27,2026-10-01,82.15
27,2026-11-01,83.90
27,2026-12-01,85.65
32,2026-01-01,69.75
32,2026-02-01,70.50
32,2026-03-01,71.35
32,2026-04-01,73.10
32,2026-05-01,74.65
32,2026-06-01,76.40
32,2026-07-01,78.15
32,2026-08-01,79.90
32,2026-09-01,81.65
32,2026-10-01,83.40
32,2026-11-01,85.15
32,2026-12-01,86.90
37,2026-01-01,71.00
37,2026-02-01,71.75
37,2026-03-01,72.60
37,2026-04-01,74.35
37,2026-05-01,75.90
37,2026-06-01,77.65
37,2026-07-01,79.40
37,2026-08-01,81.15
37,2026-09-01,82.90
37,2026-10-01,84.65
37,2026-11-01,86.40
37,2026-12-01,88.15
42,2026-01-01,72.25
42,2026-02-01,73.00
42,2026-03-01,73.85
42,2026-04-01,75.60
42,2026-05-01,77.15
42,2026-06-01,78.90
42,2026-07-01,80.65
42,2026-08-01,82.40
42,2026-09-01,84.15
42,2026-10-01,85.90
42,2026-11-01,87.65
42,2026-12-01,89.40
47,2026-01-01,73.50
47,2026-02-01,74.25
47,2026-03-01,75.10
47,2026-04-01,76.85
47,2026-05-01,78.40
47,2026-06-01,80.15
47,2026-07-01,81.90
47,2026-08-01,83.65
47,2026-09-01,85.40
47,2026-10-01,87.15
47,2026-11-01,88.90
47,2026-12-01,90.65
