curveName,date,price
POWER_BASELOAD_SPOT,2024-01-05,42.50
POWER_BASELOAD_SPOT,2024-01-06,43.25
POWER_BASELOAD_SPOT,2024-01-07,44.10
POWER_BASELOAD_SPOT,2024-01-08,45.75
POWER_BASELOAD_SPOT,2024-01-09,47.20
GAS_HUB_SPOT,2024-01-05,22.50
GAS_HUB_SPOT,2024-01-06,23.25
GAS_HUB_SPOT,2024-01-07,24.10
GAS_HUB_SPOT,2024-01-08,25.75
GAS_HUB_SPOT,2024-01-09,27.20
COAL_API2_SPOT,2024-01-05,85.50
COAL_API2_SPOT,2024-01-06,86.25
COAL_API2_SPOT,2024-01-07,87.10
COAL_API2_SPOT,2024-01-08,88.75
COAL_API2_SPOT,2024-01-09,89.20
OIL_BRENT_SPOT,2024-01-05,78.50
OIL_BRENT_SPOT,2024-01-06,79.25
OIL_BRENT_SPOT,2024-01-07,80.10
OIL_BRENT_SPOT,2024-01-08,81.75
OIL_BRENT_SPOT,2024-01-09,82.20
